ID,text,food,restaurant,atmosphere,drinks,location,service
1147211:3,"Service was prompt, friendly and great.",0,0,0,0,0,1
1147211:4,Slightly on the pricey side but worth it!,0,1,0,0,0,0
1153034:1,"There was a small wait, but shorter than I expected.",0,0,0,0,0,1
1153034:2,Located at the end of a magnificent block.,0,0,0,0,1,0
1153034:3,Very cozy and warm inside.....,0,0,1,0,0,0
1153034:4,I will be back!,0,1,0,0,0,0
1154550:0,This is the best sushi in new york city - hands down.,1,0,0,0,0,0
1154550:2,Get the tuna of gari.,1,0,0,0,0,0
1162037:1,"With the great variety on the menu , I eat here often and never get bored .",1,0,0,0,0,0
1162037:3,It's all about the food !!,1,0,0,0,0,0
1167434:1,first it took us a long time to find the place.,0,1,0,0,0,0
1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",1,0,0,0,0,0
1167434:6,"they were dry and disgusting, i didn't even finish my first piece.",1,0,0,0,0,0
1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,0,0,0,0,0,1
1175958:1,"Try the crunchy tuna, it is to die for.",1,0,0,0,0,0
1175958:2,"Try everything for that matter, it is all good.",1,0,0,0,0,0
1175958:3,I have been going there since it opened and I can't get enough.,0,1,0,0,0,0
1189674:0,First went here to enjoy their garden terrace.,0,0,1,0,0,0
1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",1,0,0,0,0,0
1189674:6,"Have recommended the place to friends, always gets good response.",0,1,0,0,0,0
1199292:3,I take all my NYC guests to VT's.,0,1,0,0,0,0
1199480:1,I've been there three times and have always had wonderful experiences.,0,1,0,0,0,0
1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,0,1,0,0,0,0
1205520:1,Even after they overcharged me the last time I was there.,0,0,0,0,0,1
1205520:2,Make sure you have the Spicy Scallop roll.. .,1,0,0,0,0,0
1205520:3,it's delicious!,1,0,0,0,0,0
1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",0,0,0,0,0,1
1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.",0,0,0,0,0,1
1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,0,0,0,0,0,1
1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,1,0,0,0,0,0
1221938:1,Try their chef's specials-- they are to die for.,1,0,0,0,0,0
1221938:2,"Service is not exactly five star, but thats not really a big deal.",0,0,0,0,0,1
1221938:3,Downstairs lounge is always a good attraction,0,0,1,0,0,0
1225162:0,"Raga's is a romantic, cozy restaurant.",0,0,1,0,0,0
1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,1,0,0,0,0,0
1225162:2,It is also extremely well priced.,1,0,0,0,0,0
1225162:3,The staff is incredibly helpful and attentive.,0,0,0,0,0,1
1225162:5,This is one of my favorite restaurants and it is not to be missed.,0,1,0,0,0,0
1225162:6,Your friends will thank you for introducing them to this gem!,0,1,0,0,0,0
1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",0,1,0,0,0,0
1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",0,0,0,0,0,1
1227999:2,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ",0,0,0,0,0,1
1227999:3,Such a disappointment...,0,0,0,0,0,1
1230993:0,I had a grat time at Jekyll and Hyde!,0,1,0,0,0,0
1230993:2,Our server was very helpful and friendly.,0,0,0,0,0,1
1230993:3,I am bringing my whole family back next time.,0,1,0,0,0,0
1230993:4,The food was good too.,1,0,0,0,0,0
1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,0,0,0,0,1,0
1232468:2,"Inside is a little cramped, but to be expected.",0,0,1,0,0,0
1232468:3,Service was prompt and courteous.,0,0,0,0,0,1
1232468:4,This was a repeat visit and we'll definitely be back again.,0,1,0,0,0,0
1241906:1,Prices are in line.,0,1,0,0,0,0
1241906:3,But too far east!,0,0,0,0,1,0
1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",1,0,0,0,0,0
1253117:3,"Also, because it is so thin, it gets cold very quickly and its not that filling.",1,0,0,0,0,0
1256373:0,By far the best salad I have had in a fast food restaurant.,1,0,0,0,0,0
1256373:1,fine dining restaurant quality.,1,0,0,0,0,0
1256373:2,Over 100 different choices to create your own.,1,0,0,0,0,0
1256373:3,A must try!,0,1,0,0,0,0
1264954:0,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",0,1,0,0,0,0
1264954:1,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",1,0,1,0,0,0
1264954:3,"With so many poor experiences to be had in the theater district, is truly an excellent find!",0,1,0,0,0,0
1264954:4,We will return many times for this oasis in mid-town.,0,1,0,0,0,0
1269216:1,The staff is no nonsense.,0,0,0,0,0,1
1269216:2,The food options rule.,1,0,0,0,0,0
1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,1,0,0,0,0,0
1269216:4,Worth visiting the 1st Ave spot because it is the original store.,0,1,0,0,0,0
1275154:4,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",1,0,0,0,0,0
1275154:6,The sake menu should not be overlooked!,0,0,0,1,0,0
1275154:7,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",0,1,0,0,0,0
1280166:1,"Service was very good - prompt, attentive and non-intrusive.",0,0,0,0,0,1
1280179:0,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",0,1,0,0,0,0
1280179:1,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",0,0,0,0,0,1
1280179:2,"Seating is always prompt, though the restaurant does fill up in the evening.",0,0,0,0,0,1
1280179:4,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",0,0,0,0,0,1
1286916:0,I have NEVER been disappointed in the Red Eye.,0,1,0,0,0,0
1286916:3,It's simply the best meal in NYC.,1,0,0,0,0,0
1286916:4,You cannot go wrong at the Red Eye Grill.,0,1,0,0,0,0
1287538:0,"If we were to move from the upper east side, we would genuinely miss this restaurant.",0,1,0,0,0,0
1287538:2,The restaurant is cute but not upscale.,0,0,1,0,0,0
1287538:4,I would highly recommend it.,0,1,0,0,0,0
1287538:5,It's one of our favorite places to eat in NY.,0,1,0,0,0,0
1289424:0,We had a great time at the Jekyll and hyde Pub last night.,0,1,0,0,0,0
1289424:2,After really enjoying ourselves at the bar we sat down at a table and had dinner.,0,1,0,0,0,0
1289424:3,The server was really cool and served us our food and drinks with a smile.,0,0,0,0,0,1
1289424:5,I highly recommend visiting this restaurant and having dinner and drinks!,0,1,0,0,0,0
1293334:0,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",0,1,0,0,0,0
1293334:1,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",0,1,0,0,0,0
1293334:3,The entertainment was great they have shows that go on through out the dinner.,0,0,1,0,0,0
1293334:4,"Please take my advice, go and try this place.",0,1,0,0,0,0
1293334:6,You will not be disapointed at all.,0,1,0,0,0,0
1297844:1,We were not dissappointed in the least bit by this little gem.,0,1,0,0,0,0
1297844:2,The bagel was huge.,1,0,0,0,0,0
1297844:3,They were served warm and had a soft fluffy interior.,1,0,0,0,0,0
1297844:4,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,1,0,0,0,0,0
1297844:5,I loved it and would HIGHLY RECOMMEND.,0,1,0,0,0,0
1303888:0,All the staff is absolutely professional!! ,0,0,0,0,0,1
1303888:2,But they do.,0,0,0,0,0,1
1303888:3,"(that is A MUST, but not every restaurant can do...) ",0,0,0,0,0,1
1303888:5,"There's nice and quiet, small but enough for 6 (or more).",0,0,1,0,0,0
1303984:0,This restaurant was way overhyped.,0,1,0,0,0,0
1303984:1,My chow fun and chow see was really bland and oily.,1,0,0,0,0,0
1303984:2,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,1,0,0,0,0,0
1308557:2,I definitely wouldn't go back.,0,1,0,0,0,0
1318537:1,"great for a romantic evening, or a fun evening with friends...",0,1,1,0,0,0
1318537:2,I will be going back very soon.,0,1,0,0,0,0
1318537:3,keep up the good work.,0,1,0,0,0,0
1318537:4,Hats off to the chef.,1,0,0,0,0,0
1328078:2,It was wonderful.,0,1,0,0,0,0
1328078:3,"the salads are delicious, both refreshing and very spicy.",1,0,0,0,0,0
1328078:4,We had Pam's special fried fish and it was amazing.,1,0,0,0,0,0
1328078:5,too large for just two people but nothing was left.,1,0,0,0,0,0
1335154:1,"Great vibe, lots of people.",0,0,1,0,0,0
1335154:3,"My husbands was perfect, my was well done and dry.",1,0,0,0,0,0
1335154:4,"I didn't complain, I liked the atmosphere so much.",0,0,1,0,0,0
1335656:1,On a hot day it was fabulous to stop in and enjoy lunch.,0,1,0,0,0,0
1335656:3,Salads were fantastic.,1,0,0,0,0,0
1335656:4,Although we were looking for regular lettuce and some walnuts the salads we got were great.,1,0,0,0,0,0
1335656:5,Ingredients are organic which is a real plus for me.,1,0,0,0,0,0
1335656:6,We will be back.,0,1,0,0,0,0
1338124:0,"This is some really good, inexpensive sushi.",1,0,0,0,0,0
1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,1,0,0,0,0,0
1338124:3,The Yellowtail was particularly good as well.,1,0,0,0,0,0
1338124:4,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",1,0,0,0,0,0
1338124:5,"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.",0,1,0,0,0,0
1340075:0,Big Wong gets big Ups for a fine establishment.,0,1,0,0,0,0
1340075:3,The food is prepared quickly and efficiently.,0,0,0,0,0,1
1340075:5,The takeout is great too since they give high quality tupperware as well.,0,0,0,0,0,1
1340075:6,This place is always very crowded and popular.,0,1,0,0,0,0
1341354:4,We'd go back again,0,1,0,0,0,0
1347423:0,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,0,1,0,0,0,0
1347423:2,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,0,0,0,0,0,1
1347423:3,"Yes, the prices are high, but I felt it was worth it.",0,1,0,0,0,0
1347423:4,We all felt it was worth it.,0,1,0,0,0,0
1349391:2,it is not consistent.,0,1,0,0,0,0
1352948:1,And where does Patis go wrong; no where. ,0,1,0,0,0,0
1352948:2,"You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.",1,0,0,0,0,0
1352948:3,And evaluated on those terms Pastis is simply wonderful.,0,1,0,0,0,0
1353599:2,My friend got the mushroom pizza which tasted better.,1,0,0,0,0,0
1353599:3,The sangria was pretty tasty and good on a hot muggy day.,0,0,0,1,0,0
1353599:4,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,0,1,0,0,0,0
1353599:5,Overall I would recommend it and go back again.,0,1,0,0,0,0
1357554:0,I started out with a Bombay beer which was big enough for two.,0,0,0,1,0,0
1357554:2,MMmmm... it was delicious.,1,0,0,0,0,0
1357554:4,It's a nice place to relax and have conversation.,0,0,1,0,0,0
1357554:5,I can't wait to go back.,0,1,0,0,0,0
1367358:1,The food is authentic Italian - delicious!,1,0,0,0,0,0
1380450:0,I'm still mad that i had to pay for lousy food.,1,0,0,0,0,0
1380450:3,DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,0,1,0,0,0,0
1387314:0,I go and eat out at many different restaurants and this is one place you have go and try.,0,1,0,0,0,0
1387314:2,The filet mignon dish was superb!,1,0,0,0,0,0
1387314:3,I would defiantly come back here again as one of my top choices.,0,1,0,0,0,0
1387314:4,It's a small cute restaurant.,0,0,1,0,0,0
1390357:0,I absolutely love this place!!!,0,1,0,0,0,0
1390357:2,"I like the ambience, it's very dark and original.",0,0,1,0,0,0
1390357:4,The sushi is amazing!!! ,1,0,0,0,0,0
1390357:5,And amazingly cheap.,1,0,0,0,0,0
1390357:6,Big thumbs up!,0,1,0,0,0,0
1394712:1,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,1,0,0,0,0,0
1394712:2,We were very disappointed.,1,0,0,0,0,0
1394712:3,We won't go to this place again for a good meal.,1,0,0,0,0,0
1394712:4,"However, I think this place is a good hang out spot.",0,0,1,0,0,0
1395421:0,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,0,1,0,0,0,0
1395421:2,It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,0,0,1,0,0,0
1395421:3,"They tell me they are going to cover the garden in glass for the winter, so i'm looking forward to going there on a snowy night to enjoy it.",0,1,0,0,0,0
1395421:4,Check this place out!,0,1,0,0,0,0
1395421:5,HIGHLY RECOMMENDED!!!!!,0,1,0,0,0,0
1398844:0,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",0,0,1,0,0,0
1398844:1,"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.",0,0,1,0,0,0
1398844:3,Slightly above average wines start at $70+ with only one selection listed at $30+.,0,0,0,1,0,0
1398844:4,Service is not what one would expect from a joint in this price category.,0,0,0,0,0,1
1398844:5,"For instance, plates were just dumped on the table, I was handed the wine list upside down, etc.... ",0,0,0,0,0,1
1398844:6,Somehow working the italian charm with constant mille grazie does not constitute proper service.,0,0,0,0,0,1
1404042:2,Fish was overdone.,1,0,0,0,0,0
1404042:4,Someone else recommended the dessert - we also left that.,1,0,0,0,0,0
1404042:5,One of us actually liked the expresso - that's it.,0,0,0,1,0,0
1404042:6,"Skip this restaurant, it's a big disappointment.",0,1,0,0,0,0
1410878:0,Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else.,0,1,0,0,0,0
1410878:2,Their tuna tartar appetizer is to die for.,1,0,0,0,0,0
1413697:0,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",1,0,0,0,0,0
1413697:1,It is simply amazing.,1,0,0,0,0,0
1413697:3,I highly recommend to anyone to give this place a try.,0,1,0,0,0,0
1413697:4,You will find yourself returning quite often.,0,1,0,0,0,0
1417496:1,No gimmicks here -- the food speaks for itself in its freshness and preparation.,1,0,0,0,0,0
1417496:2,The dining room is quietly elegant with no music to shout over -- how refreshing!,0,0,1,0,0,0
1417496:5,Beautiful experience.,0,1,0,0,0,0
1430994:1,The staff offers impeccable service.,0,0,0,0,0,1
1430994:2,I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,1,0,0,0,0,0
1430994:5,It was divine melts in your mouth.,1,0,0,0,0,0
1430994:6,My boyfriend had Prime Rib it was good .,1,0,0,0,0,0
1430994:7,We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. ,0,0,0,1,0,0
1430994:9,It's cuz it's so good you need to taste it!!! ,1,0,0,0,0,0
1430994:10,All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,0,1,0,0,0,0
1431154:0,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,1,0,0,0,0,0
1431154:1,If you like spicy food get the chicken vindaloo.,1,0,0,0,0,0
1431154:2,It's very spicy but not offensive.,1,0,0,0,0,0
1431154:3,We will definitely go back.,0,1,0,0,0,0
1432551:2,The wine list is excellent.,0,0,0,1,0,0
1439875:5,Please be aware that it's CASH or AMEX only!,0,1,0,0,0,0
1448587:1,The menu is very limited - i think we counted 4 or 5 entrees.,1,0,0,0,0,0
1448587:2,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",1,0,0,0,0,0
1448587:3,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",0,0,1,0,0,0
1448587:4,Problem is nothing at Prune is particularly memorable.,0,1,0,0,0,0
1448587:5,No plans to return anytime soon.,0,1,0,0,0,0
1451107:0,This place is so much fun.,0,0,1,0,0,0
1451107:1,Our family never expected such incredible entertainment in a restaurant.,0,1,0,0,0,0
1451107:4,Our food was great too!,1,0,0,0,0,0
1451107:5,And really large portions.,1,0,0,0,0,0
1451107:6,The staff was the friendliest that have seen in New York.,0,0,0,0,0,1
1451107:7,We will go back every time we are in the City.,0,1,0,0,0,0
1451109:0,If you want something really different than try Jekyll and Hyde.,0,1,0,0,0,0
1451109:1,It is a lot of fun with live entertainment and all kinds of Disney type special effects.,0,0,1,0,0,0
1451109:3,I highly recommend it.,0,1,0,0,0,0
1457607:0,The place is a lot of fun.,0,0,1,0,0,0
1457607:1,My six year old loved it.,0,1,0,0,0,0
1457607:2,The characters really make for an enjoyable experience.,0,0,1,0,0,0
1457607:3,"The food however, is what one might expect.",1,0,0,0,0,0
1457607:4,It is very overpriced and not very tasty.,1,0,0,0,0,0
1457607:5,"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",0,1,0,0,0,0
1457607:6,We had a good time.,0,1,0,0,0,0
1459569:0,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,0,0,0,0,0,1
1459569:1,Service was slow had to wait to order and get food although not crowded.,0,0,0,0,0,1
1459569:2,Drinks way over priced.,0,0,0,1,0,0
1460715:0,Great pizza for lunch place.,1,0,0,0,0,0
1460715:1,Service was quick.,0,0,0,0,0,1
1460715:2,The pizza was great.,1,0,0,0,0,0
1460715:3,And it was quick which is very important.,0,0,0,0,0,1
1460715:4,Have the iced tea.,0,0,0,1,0,0
1460715:5,It was wonderful.,0,0,0,1,0,0
1470286:1,Delivery is fast too.,0,0,0,0,0,1
1470286:3,A little overpriced but worth it once you take a bite.,1,0,0,0,0,0
1470334:1,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,1,0,0,0,0,0
1470334:2,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",1,0,0,0,0,0
1470334:4,The lox is always fresh too.,1,0,0,0,0,0
1470334:5,Highly recommended to all!,0,1,0,0,0,0
1471273:2,Not impressed with the food.,1,0,0,0,0,0
1471273:3,Prices too high for this cramped and unappealing resturant.,0,1,1,0,0,0
1471273:4,Zero ambiance to boot.,0,0,1,0,0,0
1476493:0,I thought this place was totally overrated.,0,1,0,0,0,0
1476493:1,Everything we had was good or ok....but definitely nothing great.,0,1,0,0,0,0
1476493:3,"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",0,1,0,0,0,0
1477631:0,This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,0,1,0,0,0,0
1477631:2,Thius is a must for anyone who loves Shabu-Shabu.,1,0,0,0,0,0
1486041:0,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",0,0,1,0,0,0
1486041:3,I must give it Yon out of Yon stars!,0,1,0,0,0,0
1486041:4,Taxan delicious!,1,0,0,0,0,0
1490757:0,"This restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!",0,1,0,0,0,0
1490757:3,"We liked it so much, that we will always make it a point to dine here when we visit New York.",0,1,0,0,0,0
1496205:2,There is a lot of variety even for people who eat vegetarian like me.,1,0,0,0,0,0
1496205:3,Try green curry with vegetables.,1,0,0,0,0,0
1496205:4,"The quantity is also very good, you will come out satisfied.",1,0,0,0,0,0
1496205:5,"The service is ok, some of the people didn't get what they asked for.",0,0,0,0,0,1
1496707:0,I was there on sat. for my birthday and we had an excellent time.,0,1,0,0,0,0
1496707:1,I had the best ravioli ever.,1,0,0,0,0,0
1496707:3,Moderate prices.,0,1,0,0,0,0
1496707:4,A little noise but I think that was because of our party!,0,0,1,0,0,0
1500453:1,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,0,1,1,0,0,0
1500453:5,A guaranteeed delight!,0,1,0,0,0,0
