ID	sentence	target	aspect	polarity
1221938:1	Try their chef's specials-- they are to die for.	chef's specials	food, restaurant, atmosphere, drinks, location, and service	positive
1221938:2	Service is not exactly five star, but thats not really a big deal.	Service	food, restaurant, atmosphere, drinks, location, and service	positive
1221938:3	Downstairs lounge is always a good attraction	Downstairs lounge	food, restaurant, atmosphere, drinks, location, and service	positive
1225162:0	Raga's is a romantic, cozy restaurant.	Raga's	food, restaurant, atmosphere, drinks, location, and service	positive
1225162:1	The exotic food is beautifully presented and is a delight in delicious combinations.	exotic food	food, restaurant, atmosphere, drinks, location, and service	positive
1225162:2	It is also extremely well priced.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1225162:3	The staff is incredibly helpful and attentive.	staff	food, restaurant, atmosphere, drinks, location, and service	positive
1225162:5	This is one of my favorite restaurants and it is not to be missed.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1225162:6	Your friends will thank you for introducing them to this gem!	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1227999:0	When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.	Leon	food, restaurant, atmosphere, drinks, location, and service	positive
1227999:1	The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...	waitress	food, restaurant, atmosphere, drinks, location, and service	positive
1227999:2	Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. 	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1227999:3	Such a disappointment...	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1230993:0	I had a grat time at Jekyll and Hyde!	Jekyll and Hyde	food, restaurant, atmosphere, drinks, location, and service	positive
1230993:2	Our server was very helpful and friendly.	server	food, restaurant, atmosphere, drinks, location, and service	positive
1230993:3	I am bringing my whole family back next time.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1230993:4	The food was good too.	food	food, restaurant, atmosphere, drinks, location, and service	positive
1232468:1	The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.	outdoor atmosphere	food, restaurant, atmosphere, drinks, location, and service	positive
1232468:2	Inside is a little cramped, but to be expected.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1232468:3	Service was prompt and courteous.	Service	food, restaurant, atmosphere, drinks, location, and service	positive
1232468:4	This was a repeat visit and we'll definitely be back again.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1241906:1	Prices are in line.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1241906:3	But too far east!	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1253117:2	Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.	appetizer selection	food, restaurant, atmosphere, drinks, location, and service	positive
1253117:3	Also, because it is so thin, it gets cold very quickly and its not that filling.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1256373:0	By far the best salad I have had in a fast food restaurant.	salad	food, restaurant, atmosphere, drinks, location, and service	positive
1256373:1	fine dining restaurant quality.	dining	food, restaurant, atmosphere, drinks, location, and service	positive
1256373:2	Over 100 different choices to create your own.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1256373:3	A must try!	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1264954:0	On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.	restaurant	food, restaurant, atmosphere, drinks, location, and service	positive
1264954:1	This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1264954:3	With so many poor experiences to be had in the theater district, is truly an excellent find!	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1264954:4	We will return many times for this oasis in mid-town.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1269216:1	The staff is no nonsense.	staff	food, restaurant, atmosphere, drinks, location, and service	positive
1269216:2	The food options rule.	food	food, restaurant, atmosphere, drinks, location, and service	positive
1269216:3	When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.	bagels	food, restaurant, atmosphere, drinks, location, and service	positive
1269216:4	Worth visiting the 1st Ave spot because it is the original store.	1st Ave spot	food, restaurant, atmosphere, drinks, location, and service	positive
1275154:4	He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!	Uni Hand roll	food, restaurant, atmosphere, drinks, location, and service	positive
1275154:6	The sake menu should not be overlooked!	sake menu	food, restaurant, atmosphere, drinks, location, and service	positive
1275154:7	All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1280166:1	Service was very good - prompt, attentive and non-intrusive.	Service	food, restaurant, atmosphere, drinks, location, and service	positive
1280179:0	I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.	Cafe Spice	food, restaurant, atmosphere, drinks, location, and service	positive
1280179:1	To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. 	Service	food, restaurant, atmosphere, drinks, location, and service	positive
1280179:2	Seating is always prompt, though the restaurant does fill up in the evening.	Seating	food, restaurant, atmosphere, drinks, location, and service	positive
1280179:4	As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1286916:0	I have NEVER been disappointed in the Red Eye.	Red Eye	food, restaurant, atmosphere, drinks, location, and service	positive
1286916:3	It's simply the best meal in NYC.	meal	food, restaurant, atmosphere, drinks, location, and service	positive
1286916:4	You cannot go wrong at the Red Eye Grill.	Red Eye Grill	food, restaurant, atmosphere, drinks, location, and service	positive
1287538:0	If we were to move from the upper east side, we would genuinely miss this restaurant.	restaurant	food, restaurant, atmosphere, drinks, location, and service	positive
1287538:2	The restaurant is cute but not upscale.	restaurant	food, restaurant, atmosphere, drinks, location, and service	positive
1287538:4	I would highly recommend it.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1287538:5	It's one of our favorite places to eat in NY.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1289424:0	We had a great time at the Jekyll and hyde Pub last night.	Jekyll and hyde Pub	food, restaurant, atmosphere, drinks, location, and service	positive
1289424:2	After really enjoying ourselves at the bar we sat down at a table and had dinner.	bar	food, restaurant, atmosphere, drinks, location, and service	positive
1289424:3	The server was really cool and served us our food and drinks with a smile.	server	food, restaurant, atmosphere, drinks, location, and service	positive
1289424:5	I highly recommend visiting this restaurant and having dinner and drinks!	restaurant	food, restaurant, atmosphere, drinks, location, and service	positive
1293334:0	If you are the type of person who likes being scared and entertained, this is a great place to go and eat.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1293334:1	My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.	Jekyll and Hyde Pub	food, restaurant, atmosphere, drinks, location, and service	positive
1293334:3	The entertainment was great they have shows that go on through out the dinner.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1293334:4	Please take my advice, go and try this place.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1293334:6	You will not be disapointed at all.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1297844:1	We were not dissappointed in the least bit by this little gem.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1297844:2	The bagel was huge.	bagel	food, restaurant, atmosphere, drinks, location, and service	positive
1297844:3	They were served warm and had a soft fluffy interior.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1297844:4	The workers there also absolutely load the bagel with cream cheese (gets a little messy).	bagel	food, restaurant, atmosphere, drinks, location, and service	positive
1297844:5	I loved it and would HIGHLY RECOMMEND.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1303888:0	All the staff is absolutely professional!! 	staff	food, restaurant, atmosphere, drinks, location, and service	positive
1303888:2	But they do.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1303888:3	(that is A MUST, but not every restaurant can do...) 	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1303888:5	There's nice and quiet, small but enough for 6 (or more).	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1303984:0	This restaurant was way overhyped.	restaurant	food, restaurant, atmosphere, drinks, location, and service	positive
1303984:1	My chow fun and chow see was really bland and oily.	chow fun and chow see	food, restaurant, atmosphere, drinks, location, and service	positive
1303984:2	Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1308557:2	I definitely wouldn't go back.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1318537:1	great for a romantic evening, or a fun evening with friends...	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1318537:2	I will be going back very soon.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1318537:3	keep up the good work.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1318537:4	Hats off to the chef.	chef	food, restaurant, atmosphere, drinks, location, and service	positive
1328078:2	It was wonderful.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1328078:3	the salads are delicious, both refreshing and very spicy.	salads	food, restaurant, atmosphere, drinks, location, and service	positive
1328078:4	We had Pam's special fried fish and it was amazing.	Pam's special fried fish	food, restaurant, atmosphere, drinks, location, and service	positive
1328078:5	too large for just two people but nothing was left.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1335154:1	Great vibe, lots of people.	vibe	food, restaurant, atmosphere, drinks, location, and service	positive
1335154:3	My husbands was perfect, my was well done and dry.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1335154:4	I didn't complain, I liked the atmosphere so much.	atmosphere	food, restaurant, atmosphere, drinks, location, and service	positive
1335656:1	On a hot day it was fabulous to stop in and enjoy lunch.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1335656:3	Salads were fantastic.	Salads	food, restaurant, atmosphere, drinks, location, and service	positive
1335656:4	Although we were looking for regular lettuce and some walnuts the salads we got were great.	salads	food, restaurant, atmosphere, drinks, location, and service	positive
1335656:5	Ingredients are organic which is a real plus for me.	Ingredients	food, restaurant, atmosphere, drinks, location, and service	positive
1335656:6	We will be back.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1338124:0	This is some really good, inexpensive sushi.	sushi	food, restaurant, atmosphere, drinks, location, and service	positive
1338124:2	The spicy Tuna roll is huge and probably the best that I've had at this price range.	spicy Tuna roll	food, restaurant, atmosphere, drinks, location, and service	positive
1338124:3	The Yellowtail was particularly good as well.	Yellowtail	food, restaurant, atmosphere, drinks, location, and service	positive
1338124:4	I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.	all you can eat deal	food, restaurant, atmosphere, drinks, location, and service	positive
1338124:5	In any event, this is a place I'll be sure to stop by again when I'm in this part of town.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1340075:0	Big Wong gets big Ups for a fine establishment.	Big Wong	food, restaurant, atmosphere, drinks, location, and service	positive
1340075:3	The food is prepared quickly and efficiently.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1340075:5	The takeout is great too since they give high quality tupperware as well.	takeout	food, restaurant, atmosphere, drinks, location, and service	positive
1340075:6	This place is always very crowded and popular.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1341354:4	We'd go back again	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1347423:0	I recently went to this restaurant with some co-workers for lunch and had an amazing time.	restaurant	food, restaurant, atmosphere, drinks, location, and service	positive
1347423:2	We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.	Manager	food, restaurant, atmosphere, drinks, location, and service	positive
1347423:3	Yes, the prices are high, but I felt it was worth it.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1347423:4	We all felt it was worth it.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1349391:2	it is not consistent.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1352948:1	And where does Patis go wrong; no where. 	Patis	food, restaurant, atmosphere, drinks, location, and service	positive
1352948:2	You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1352948:3	And evaluated on those terms Pastis is simply wonderful.	Pastis	food, restaurant, atmosphere, drinks, location, and service	positive
1353599:2	My friend got the mushroom pizza which tasted better.	mushroom pizza	food, restaurant, atmosphere, drinks, location, and service	positive
1353599:3	The sangria was pretty tasty and good on a hot muggy day.	sangria	food, restaurant, atmosphere, drinks, location, and service	positive
1353599:4	Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1353599:5	Overall I would recommend it and go back again.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1357554:0	I started out with a Bombay beer which was big enough for two.	Bombay beer	food, restaurant, atmosphere, drinks, location, and service	positive
1357554:2	MMmmm... it was delicious.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1357554:4	It's a nice place to relax and have conversation.	place	food, restaurant, atmosphere, drinks, location, and service	positive
1357554:5	I can't wait to go back.	NULL	food, restaurant, atmosphere, drinks, location, and service	positive
1367358:1	The food is authentic Italian - delicious!	food	food, restaurant, atmosphere, drinks, location, and service	positive
1380450:0	I'm still mad that i had to pay for lousy food.	food	food, restaurant, atmosphere, drinks, location, and service	positive
