sentence_id	sentence	category	polarity	category_polarity	entailed
3411	Even my Indian friend couldn't believe how good and tasty everything was.	food	neutral	food neutral	no
2164	We were not dissappointed in the least bit by this little gem.	experience	positive	experience positive	no
2164	We were not dissappointed in the least bit by this little gem.	experience	negative	experience negative	no
2164	We were not dissappointed in the least bit by this little gem.	experience	neutral	experience neutral	no
3077	A pleasant surprise.	experience	positive	experience positive	no
3077	A pleasant surprise.	experience	negative	experience negative	no
3077	A pleasant surprise.	experience	neutral	experience neutral	no
745	This was a repeat visit and we'll definitely be back again.	experience	positive	experience positive	no
745	This was a repeat visit and we'll definitely be back again.	experience	negative	experience negative	no
745	This was a repeat visit and we'll definitely be back again.	experience	neutral	experience neutral	no
1273	I love the fact that the pizza tastes so good and is so cheap.	food	positive	food positive	no
1273	I love the fact that the pizza tastes so good and is so cheap.	food	negative	food negative	no
1273	I love the fact that the pizza tastes so good and is so cheap.	food	neutral	food neutral	no
1273	I love the fact that the pizza tastes so good and is so cheap.	price	positive	price positive	no
1273	I love the fact that the pizza tastes so good and is so cheap.	price	negative	price negative	no
1273	I love the fact that the pizza tastes so good and is so cheap.	price	neutral	price neutral	no
179	Service was prompt, friendly and great.	service	positive	service positive	no
179	Service was prompt, friendly and great.	service	negative	service negative	no
179	Service was prompt, friendly and great.	service	neutral	service neutral	no
2460	OU MUST TRY THIS RESTAURANT.	experience	positive	experience positive	no
2460	OU MUST TRY THIS RESTAURANT.	experience	negative	experience negative	no
2460	OU MUST TRY THIS RESTAURANT.	experience	neutral	experience neutral	no
3045	All pretty good.	food	positive	food positive	no
3045	All pretty good.	food	negative	food negative	no
3045	All pretty good.	food	neutral	food neutral	no
3045	All pretty good.	experience	positive	experience positive	no
3045	All pretty good.	experience	negative	experience negative	no
3045	All pretty good.	experience	neutral	experience neutral	no
1698	Have eaten at Ginger House several times, and it's always good.	experience	positive	experience positive	no
1698	Have eaten at Ginger House several times, and it's always good.	experience	negative	experience negative	no
1698	Have eaten at Ginger House several times, and it's always good.	experience	neutral	experience neutral	no
109	I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil.	food	positive	food positive	no
109	I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil.	food	negative	food negative	no
109	I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil.	food	neutral	food neutral	no
1057	Drawbacks: service is slow and they don't toast!	service	positive	service positive	no
1057	Drawbacks: service is slow and they don't toast!	service	negative	service negative	no
1057	Drawbacks: service is slow and they don't toast!	service	neutral	service neutral	no
2186	It is by far my favorite restaurant in Brooklyn.	experience	positive	experience positive	no
2186	It is by far my favorite restaurant in Brooklyn.	experience	negative	experience negative	no
2186	It is by far my favorite restaurant in Brooklyn.	experience	neutral	experience neutral	no
3471	I've been to Joya twice and I will never go again.	experience	positive	experience positive	no
3471	I've been to Joya twice and I will never go again.	experience	negative	experience negative	no
3471	I've been to Joya twice and I will never go again.	experience	neutral	experience neutral	no
1401	A hearty two thumbs up!	experience	positive	experience positive	no
1401	A hearty two thumbs up!	experience	negative	experience negative	no
1401	A hearty two thumbs up!	experience	neutral	experience neutral	no
1112	Great find!!!	experience	positive	experience positive	no
1112	Great find!!!	experience	negative	experience negative	no
1112	Great find!!!	experience	neutral	experience neutral	no
3495	Was surprisingly disappointed.	experience	positive	experience positive	no
3495	Was surprisingly disappointed.	experience	negative	experience negative	no
3495	Was surprisingly disappointed.	experience	neutral	experience neutral	no
2451	The prices were fantastic.	food	positive	food positive	no
2451	The prices were fantastic.	food	negative	food negative	no
2451	The prices were fantastic.	food	neutral	food neutral	no
2451	The prices were fantastic.	price	positive	price positive	no
2451	The prices were fantastic.	price	negative	price negative	no
2451	The prices were fantastic.	price	neutral	price neutral	no
948	I'm told that it is open 24hrs which is good.	experience	positive	experience positive	no
948	I'm told that it is open 24hrs which is good.	experience	negative	experience negative	no
948	I'm told that it is open 24hrs which is good.	experience	neutral	experience neutral	no
2202	What more could you want?	experience	positive	experience positive	no
2202	What more could you want?	experience	negative	experience negative	no
2202	What more could you want?	experience	neutral	experience neutral	no
2740	Excellent experience.	experience	positive	experience positive	no
2740	Excellent experience.	experience	negative	experience negative	no
2740	Excellent experience.	experience	neutral	experience neutral	no
537	Definitely a neighborhood favorite.	experience	positive	experience positive	no
537	Definitely a neighborhood favorite.	experience	negative	experience negative	no
537	Definitely a neighborhood favorite.	experience	neutral	experience neutral	no
1548	The food is terrible and overall, I would have to say avoid at all costs.	food	positive	food positive	no
1548	The food is terrible and overall, I would have to say avoid at all costs.	food	negative	food negative	no
1548	The food is terrible and overall, I would have to say avoid at all costs.	food	neutral	food neutral	no
134	The food is prepared quickly and efficiently.	food	positive	food positive	no
134	The food is prepared quickly and efficiently.	food	negative	food negative	no
134	The food is prepared quickly and efficiently.	food	neutral	food neutral	no
2708	The food is fresh, delicious, and reasonably priced.	food	positive	food positive	no
2708	The food is fresh, delicious, and reasonably priced.	food	negative	food negative	no
2708	The food is fresh, delicious, and reasonably priced.	food	neutral	food neutral	no
2708	The food is fresh, delicious, and reasonably priced.	price	positive	price positive	no
2708	The food is fresh, delicious, and reasonably priced.	price	negative	price negative	no
2708	The food is fresh, delicious, and reasonably priced.	price	neutral	price neutral	no
1455	This is my favorite Italian restaurant in all of New York City.	experience	positive	experience positive	no
1455	This is my favorite Italian restaurant in all of New York City.	experience	negative	experience negative	no
1455	This is my favorite Italian restaurant in all of New York City.	experience	neutral	experience neutral	no
2591	Anyway, this is the last time I cross the williamsburg.	experience	positive	experience positive	no
2591	Anyway, this is the last time I cross the williamsburg.	experience	negative	experience negative	no
2591	Anyway, this is the last time I cross the williamsburg.	experience	neutral	experience neutral	no
1593	I am bringing my whole family back next time.	experience	positive	experience positive	no
1593	I am bringing my whole family back next time.	experience	negative	experience negative	no
1593	I am bringing my whole family back next time.	experience	neutral	experience neutral	no
1769	Love YUKA.	experience	positive	experience positive	no
1769	Love YUKA.	experience	negative	experience negative	no
1769	Love YUKA.	experience	neutral	experience neutral	no
3575	As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.	service	positive	service positive	no
3575	As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.	service	negative	service negative	no
3575	As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.	service	neutral	service neutral	no
1105	I have been coming to this neighborhood spot for years.	experience	positive	experience positive	no
1105	I have been coming to this neighborhood spot for years.	experience	negative	experience negative	no
1105	I have been coming to this neighborhood spot for years.	experience	neutral	experience neutral	no
2575	We will be back.	experience	positive	experience positive	no
2575	We will be back.	experience	negative	experience negative	no
2575	We will be back.	experience	neutral	experience neutral	no
742	The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.	atmosphere	positive	atmosphere positive	no
742	The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.	atmosphere	negative	atmosphere negative	no
742	The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.	atmosphere	neutral	atmosphere neutral	no
1471	A large is $20, and toppings are about $3 each.	food	positive	food positive	no
1471	A large is $20, and toppings are about $3 each.	food	negative	food negative	no
1471	A large is $20, and toppings are about $3 each.	food	neutral	food neutral	no
1471	A large is $20, and toppings are about $3 each.	price	positive	price positive	no
1471	A large is $20, and toppings are about $3 each.	price	negative	price negative	no
1471	A large is $20, and toppings are about $3 each.	price	neutral	price neutral	no
1656	The spicy tuna and salmon are the best we've ever had.	food	positive	food positive	no
1656	The spicy tuna and salmon are the best we've ever had.	food	negative	food negative	no
1656	The spicy tuna and salmon are the best we've ever had.	food	neutral	food neutral	no
2769	A guaranteeed delight!	food	positive	food positive	no
2769	A guaranteeed delight!	food	negative	food negative	no
2769	A guaranteeed delight!	food	neutral	food neutral	no
3681	The food was very good, a great deal, and the place its self was great.	food	positive	food positive	no
3681	The food was very good, a great deal, and the place its self was great.	food	negative	food negative	no
3681	The food was very good, a great deal, and the place its self was great.	food	neutral	food neutral	no
3681	The food was very good, a great deal, and the place its self was great.	price	positive	price positive	no
3681	The food was very good, a great deal, and the place its self was great.	price	negative	price negative	no
3681	The food was very good, a great deal, and the place its self was great.	price	neutral	price neutral	no
2205	The food is usually good but it certainly isn't a relaxing place to go.	food	positive	food positive	no
2205	The food is usually good but it certainly isn't a relaxing place to go.	food	negative	food negative	no
2205	The food is usually good but it certainly isn't a relaxing place to go.	food	neutral	food neutral	no
2205	The food is usually good but it certainly isn't a relaxing place to go.	atmosphere	positive	atmosphere positive	no
2205	The food is usually good but it certainly isn't a relaxing place to go.	atmosphere	negative	atmosphere negative	no
2205	The food is usually good but it certainly isn't a relaxing place to go.	atmosphere	neutral	atmosphere neutral	no
1159	After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.	atmosphere	positive	atmosphere positive	no
1159	After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.	atmosphere	negative	atmosphere negative	no
1159	After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.	atmosphere	neutral	atmosphere neutral	no
628	The server was really cool and served us our food and drinks with a smile.	food	positive	food positive	no
628	The server was really cool and served us our food and drinks with a smile.	food	negative	food negative	no
628	The server was really cool and served us our food and drinks with a smile.	food	neutral	food neutral	no
628	The server was really cool and served us our food and drinks with a smile.	service	positive	service positive	no
628	The server was really cool and served us our food and drinks with a smile.	service	negative	service negative	no
628	The server was really cool and served us our food and drinks with a smile.	service	neutral	service neutral	no
2912	The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).	food	positive	food positive	no
2912	The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).	food	negative	food negative	no
2912	The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).	food	neutral	food neutral	no
3188	Went there for an office lunch.	experience	positive	experience positive	no
3188	Went there for an office lunch.	experience	negative	experience negative	no
3188	Went there for an office lunch.	experience	neutral	experience neutral	no
3041	We've only eaten in the restaurant once, but we have ordered many times for dinner.	experience	positive	experience positive	no
3041	We've only eaten in the restaurant once, but we have ordered many times for dinner.	experience	negative	experience negative	no
3041	We've only eaten in the restaurant once, but we have ordered many times for dinner.	experience	neutral	experience neutral	no
