ID	Sentence	aspect_polarity
134	The food is prepared quickly and efficiently.	food positive
2708	The food is fresh, delicious, and reasonably priced.	food positive
2708	The food is fresh, delicious, and reasonably priced.	price positive
1455	This is my favorite Italian restaurant in all of New York City.	experience positive
2591	Anyway, this is the last time I cross the williamsburg.	experience negative
1593	I am bringing my whole family back next time.	experience positive
1769	Love YUKA.	experience positive
3575	As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.	experience neutral
1105	I have been coming to this neighborhood spot for years.	experience neutral
2575	We will be back.	experience positive
742	The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.	atmosphere positive
1471	A large is $20, and toppings are about $3 each.	price neutral
1656	The spicy tuna and salmon are the best we've ever had.	food positive
2769	A guaranteeed delight!	experience positive
3681	The food was very good, a great deal, and the place its self was great.	food positive
3681	The food was very good, a great deal, and the place its self was great.	atmosphere positive
3681	The food was very good, a great deal, and the place its self was great.	price positive
2205	The food is usually good but it certainly isn't a relaxing place to go.	food positive
2205	The food is usually good but it certainly isn't a relaxing place to go.	atmosphere negative
1159	After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.	atmosphere positive
628	The server was really cool and served us our food and drinks with a smile.	service positive
2912	The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).	food positive
3188	Went there for an office lunch.	experience neutral
3041	We've only eaten in the restaurant once, but we have ordered many times for dinner.	experience neutral
